id,title,context,question,answers
94,Scope 1+2 Carbon Emissions,"The Scope 1+2 Carbon Emissions is 1072.5. Another way that airlines can reduce their carbon emissions is by using sustainable aviation fuels (SAFs). SAFs are made from renewable sources such as biofuels and can significantly reduce carbon emissions compared to traditional fossil fuels. Some airlines have already begun using SAFs on a small scale, but more widespread adoption is needed to make a significant impact on carbon emissions.",What is the Scope 1+2 Carbon Emissions for ALLEGIANT?,"{'answer_start': [34], 'text': ['1072.5']}"
95,Transferred pilot,"Each year, a minimum of 30% of Alaska new-hire pilots will come from the Alaska Pilot Pathways Program. In 2021, 32% (51 pilots total) of our overall pilot new hires at Alaska were Horizon transfers through the Pathways program.",How many pilots were transferred from Horizon to Alaska in 2021?,"{'answer_start': [104], 'text': ['In 2021, 32% (51 pilots total) of our overall pilot new hires at Alaska were Horizon transfers through the Pathways program.']}"
96,modern slavery score,"The modern slavery score is 8. Airlines must also recognize the potential for modern slavery risks to exist in both their direct and indirect supply chains. For example, catering services may be provided by subcontractors, who may in turn subcontract out to other companies. Airlines must have visibility and control over all tiers of their supply chain to effectively address modern slavery risks.","what is the modern slavery score for SKYMILES IP LTD. (DELTA AIR LINES, INC.)?","{'answer_start': [28], 'text': ['8']}"
97,emissions,"Environmental sustainability is an important issue for the aviation industry, and one airline has taken steps to reduce its impact on the environment. In 2021, the airline reported that the dry ice emissions from catering amounted to 1720, which it considers a significant figure. To minimize these emissions, the airline has invested in sustainable catering options and implemented waste reduction measures. By prioritizing environmental sustainability, the airline demonstrates a commitment to reducing its carbon footprint and creating a more sustainable future for the aviation industry.",What is the dry ice from catering emmision in 2021?,"{'answer_start': [-1], 'text': ['1,720']}"
98,giving,"The Material is from table. Thus, the context is same from answer. Total global giving in 2021 was 20.2 million. It was  22.5 million in 2020, and  33.0 million in 2019",how much is (was) global giving?,"{'answer_start': [67], 'text': ['Total global giving in 2021 was 20.2 million']}"
99,,"Waste Maintain at Least 80% Recycling Rate for Audited Domestic Flights.The airline industry is a significant contributor to global waste and carbon emissions, and many airlines are taking steps to reduce their environmental impact. One area of focus is recycling, which can help reduce the amount of waste that ends up in landfills and promote the use of recycled materials.",what is the recycle rate  the airline maintains for waste material ,"{'answer_start': [24], 'text': ['80%']}"
100,risk management,"These are risks, that if not addressed, will have a material impact in the near term such as a not addressing gaps in racial, ethnic or gender representation and a lack of ESG oversight at the Board level.",what is the short term risk management strategy?,"{'answer_start': [-1], 'text': ['No answer exists']}"
101,recycling,"Delta Airlines reported a recycling rate of 56% in 2019. The airline has set a goal to increase its recycling rate to 70% by 2025. Delta Airlines recycles items such as aluminum cans, plastic bottles, and paper. The airline also partners with suppliers to reduce waste and increase recycling.",What is the recycling rate of Delta Airlines?,"{'answer_start': [-1], 'text': ['0.56']}"
102,aviation accidents,Number of aviation accidents: 0,how much is (was) aviation accidents in 2020?,"{'answer_start': [30], 'text': ['0']}"
103,modern slavery score,"The modern slavery score is 8. Airlines can also collaborate with other companies and stakeholders to address modern slavery risks in their supply chains. For example, the Air Transport Action Group (ATAG) has developed a sustainability framework for the aviation industry that includes a focus on human rights and preventing modern slavery.",what is the modern slavery score for AZUL INVESTMENTS LLP? ,"{'answer_start': [28], 'text': ['8']}"
104,carbon Oxides emissions,"In 2021, 13,622,950 tons of carbon dioxide were emitted.",How much tons of carbon dioxide was emitted in 2021? ,"{'answer_start': [9], 'text': ['13,622,950']}"
105,waste,"In 2021, 589 tons of hazardous waste have been generated by Delta.",How many tons of waste have been generated in 2021?,"{'answer_start': [9], 'text': ['589']}"
106,controversy total count,"The controversy total count was 0.002563101.Ultimately, the goal of airlines should be to operate in a safe, responsible, and sustainable manner that prioritizes the needs of customers, employees, and the environment.",what was the controversy total count for DEUTSCHE LUFTHANSA AG? ,"{'answer_start': [32], 'text': ['0.002563101']}"
107,SGD Revenue,"SGD Revenue is 100 %.Technology is another factor that can impact SGD revenue for airlines. The rise of digital technologies has transformed the way that airlines interact with customers and sell tickets, with online sales and mobile apps becoming increasingly important channels for revenue generation. Airlines must invest in technology and stay up-to-date with the latest trends in order to remain competitive in this rapidly evolving industry.",what is the SGD Revenue % for PEGASUS HAVA TASIMACILIGI AS?,"{'answer_start': [15], 'text': ['100']}"
108,Aviation Safety Action Program,"In 2014, Cathay Pacific became one of the first airlines to pass the enhanced International Air Transport Association (IATA) Operational Safety Audit (IOSA) with no adverse findings. IOSA is a global safety standard, and the enhanced audit ensures conformity via ongoing biennial audits. In 2017, Cathay Dragon successfully renewed its IOSA accreditation. Cathay Pacific’s renewal audit takes place in 2018.",What is (was) the aviation safety action?,"{'answer_start': [-1], 'text': ['IATA Operational Safety Audit']}"
109,Does the airline have a sustainable procurement policy?,"Delta Air Lines has a sustainable procurement policy that focuses on sourcing sustainable products and working with sustainable suppliers. The airline evaluates potential suppliers based on their environmental and social performance, and encourages the use of sustainable products, such as recycled paper and eco-friendly cleaning products. Delta Air Lines has a goal to reduce its greenhouse gas emissions by 50% by 2050 and has been recognized for its sustainability efforts by various organizations, including the CDP Climate Change A List.",Sustainable Procurement,"{'answer_start': [-1], 'text': ['Yes, with a focus on sustainable products and suppliers']}"
110,aviation accidents,"A portion of the support provided to these organizations may be used
by the organizations for lobbying. Our primary trade associations advocate for a broad range
of issues, including climate strategy, as well as broader industry issues like operational efficiency improvements, infrastructure investments, health
and safety standards, tax policy and workforce development, among others. Some of our trade associations are actively engaged in advancing
our four decarbonization pathways outlined above. While United’s positions may not always fully align with these organizations, we work with them to advance progress where opportunities exist and use our influence with these organizations to advocate for policy changes when needed.and safety standards, tax policy and workforce development, among others. Some of our trade associations are actively engaged in advancing
our four decarbonization pathways outlined above. While United’s positions may not always fully align with these organizations, we work with them to advance progress where opportunities exist and use our influence with these organizations to advocate for policy changes when needed.",how much is (was) aviation accidents?,"{'answer_start': [-1], 'text': ['No answer exists']}"
111,modern slavery score,"The modern slavery score is 8. Airlines can also work with industry associations and non-governmental organizations (NGOs) to improve their modern slavery score. For example, the International Air Transport Association (IATA) has partnered with the United Nations Office on Drugs and Crime to develop guidelines on preventing human trafficking and smuggling in the aviation industry.",what is the modern slavery score for EASYJET PLC?,"{'answer_start': [28], 'text': ['8']}"
112,TRIFR,"In FY22, our TRIFR was 12.9 compared with 17 in FY21 and 16.7 in FY20 and our LWCFR was 6.5 compared with 5.4 in FY21 and 7.5 in FY20. There were no fatalities in FY22 which is consistent with FY21 and FY20.",How much was total recordable injury frequency rate (TRIFR) in FY22?,"{'answer_start': [0], 'text': ['In FY22, our TRIFR was 12.9 compared with 17 in FY21 and 16.7 in FY20 and our LWCFR was 6.5 compared with 5.4 in FY21 and 7.5 in FY20.']}"
113,REV PASS MILES,"The REV PASS MILES is 0.Many airlines also offer tiered loyalty programs that offer additional benefits based on the number of Rev Pass miles a passenger earns. For example, an airline may offer a silver, gold, or platinum level, with each level offering increasing benefits and rewards.",What is the rev pass miles for AEROMEXICO?,"{'answer_start': [22], 'text': ['0']}"
114,Scope 3Carbon Emissions,"The Scope 3Carbon Emissions is 244.1509781.Collaboration with other industries can also help airlines address scope 3 emissions. For example, airlines can work with the automotive industry to develop more fuel-efficient ground transportation options, or partner with technology companies to develop more efficient and sustainable air traffic control systems.",What is the Scope 3Carbon Emissions for DEUTSCHE LUFTHANSA AG?,"{'answer_start': [31], 'text': ['244.1509781']}"
115,modern slavery score,The modern slavery score is 8. The modern slavery score is not a static metric and should be regularly reviewed and updated to reflect changing risks and realities in supply chains. Airlines must remain vigilant and adaptive to effectively address modern slavery risks and meet evolving ethical and legal standards.,what is the modern slavery score for JETBLUE AIRWAYS CORP?,"{'answer_start': [28], 'text': ['8']}"
116,damage / Aircraft ground damages," THIRD PARTY CONTENT PROVIDERS GIVE NO EXPRESS OR IMPLIED WARRANTIES, INCLUDING, BUT NOT LIMITED TO, ANY WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE OR USE. THIRD PARTY CONTENT PROVIDERS SHALL NOT BE LIABLE FOR ANY DIRECT, INDIRECT, INCIDENTAL, EXEMPLARY, COMPENSATORY, PUNITIVE, SPECIAL OR CONSEQUENTIAL DAMAGES, COSTS, EXPENSES, LEGAL FEES, OR LOSSES (INCLUDING LOST INCOME OR PROFITS AND OPPORTUNITY COSTS OR LOSSES CAUSED BY NEGLIGENCE) IN CONNECTION WITH ANY USE OF THEIR CONTENT, INCLUDING RATINGS. ",how much is (was) aircraft ground damages?,"{'answer_start': [-1], 'text': ['No answer exists']}"
117,fuel efficiency,"According to the US Department of Transportation's 2019 Airline Fuel Efficiency Ranking report, the average fuel efficiency for US airlines in 2018 was 43 passenger miles per gallon. This metric takes into account the fuel efficiency of the entire fleet of an airline, including both domestic and international flights.",What is the average fuel efficiency of airlines in the US?,"{'answer_start': [152], 'text': ['43 passenger miles per gallon']}"
118,SGD Revenue,"SGD Revenue is 98 %.One key factor that can impact SGD revenue for airlines is the regulatory environment in Singapore. Airlines must comply with a range of regulations, including safety standards, environmental regulations, and consumer protection laws, which can impact their ability to generate revenue. For example, increased environmental regulations could lead to higher costs for airlines and impact profitability.",what is the SGD Revenue % for KOREAN AIR LINES CO LTD?,"{'answer_start': [15], 'text': ['98']}"
119,aircraft certified / Chapter 5 noise limits,"Our electrification
initiative is cutting emissions, reducing noise, and lowering maintenance requirements.",how much is (was) Percent of chapter 5 noise limits?,"{'answer_start': [-1], 'text': ['No answer exists']}"
120,SGD Revenue,SGD Revenue is 100 %.Brand reputation is another important factor that can impact SGD revenue for airlines. A strong brand reputation can help to attract customers and differentiate the airline from its competitors. Airlines must invest in branding and marketing campaigns in order to build a positive reputation and increase revenue.,what is the SGD Revenue % for UNITED AIRLINES HOLDINGS INC?,"{'answer_start': [15], 'text': ['100']}"
121,Renewable Energy,"In 2019, Southwest Airlines reported that 10.2% of its energy consumption came from renewable sources such as wind and solar power. The airline has set a goal of sourcing at least 3 billion gallons of sustainable aviation fuel annually by 2030. Southwest has also implemented several measures to reduce its energy consumption, such as using LED lighting in its facilities and optimizing flight paths for fuel efficiency. Additionally, the airline has implemented several waste reduction programs, including composting, recycling, and donation efforts. Southwest has set a goal of achieving carbon neutrality for its global operations by 2050.",What is an airline's renewable energy usage?,"{'answer_start': [-1], 'text': ['0.102']}"
122,Scope 1+2 Carbon Emissions,"Governments around the world have also taken action to address carbon emissions from airlines. Some countries have implemented carbon pricing schemes, such as the European Union's Emissions Trading System (ETS), which requires airlines to purchase permits for their carbon emissions. Other countries have implemented taxes or other policies to encourage airlines to reduce their emissions.The Scope 1+2 Carbon Emissions is 829.7.",What is the Scope 1+2 Carbon Emissions for DELTA AIR LINES?,"{'answer_start': [423], 'text': ['829.7']}"
123,Aviation Safety Action Program,Number of governmental enforcement actions of aviation safety regulations: 0,how much is (was) aviation safety action in 2019?,"{'answer_start': [75], 'text': ['0']}"
124,controversy total count,"The controversy total count was 0.To mitigate controversy and maintain public trust, airlines must prioritize safety, customer service, and environmental responsibility. This may involve investing in new technologies and equipment, providing comprehensive training to personnel, and adopting sustainable practices.",what was the controversy total count for GOL LUXCO SA? ,"{'answer_start': [32], 'text': ['0']}"
125,giving,"Help Alliance (philanthropy group owned by LH) oversaw 48 aid projects in roughly 20 countries, with a project volume of €2.7 million – 87% of which went into promoting education – approximately 40,000 disadvantaged people worldwide received support.",how much is (was) global giving?,"{'answer_start': [121], 'text': ['€2.7 million']}"
126,Spills,"We recognize that spills of chemicals, oils, and fuels can have a significant impact on our planet, so we make every effort to prevent them. However, we acknowledge that despite our best efforts, some spills do happen because of equipment failure or human error. We provide our Employees 24/7 access to guidance and emergency response assistance with spill response, and we track our spills using an online spill reporting form. This not only makes it simple for our Employees to report a spill in a timely and accurate manner, but it also provides automatic notification to the entire Environmental Services Team upon submittal for quick response and regulatory agency reporting when required. The Environmental Services Team also compiles and analyzes details from all spills so operating groups can assess spill prevention strategies. In 2016, we had four spills that were reportable to the National Response Center per regulatory requirements. None of the spills required reporting in our financial statements as a liability.",how much is (was) Spills recorded?,"{'answer_start': [-1], 'text': ['No answer exists']}"
127,modern slavery score,"A low modern slavery score can have negative consequences for airlines, including reputational damage, legal liability, and financial losses. In addition, airlines have a responsibility to respect human rights and prevent modern slavery in their operations and supply chains.The modern slavery score is 8. ",what is the modern slavery score for AVIANCA GROUP INTERNATIONAL LTD?,"{'answer_start': [303], 'text': ['8']}"
128,How much waste does the airline divert from landfills through its recycling program?,"Alaska Airlines has implemented a comprehensive waste reduction program that includes recycling, composting, and waste minimization measures. The airline aims to divert 70% of its waste from landfills by 2025. In 2020, Alaska Airlines diverted over 5,000 tons of waste from landfills through its recycling program. The airline also works with its partners and suppliers to reduce waste and improve sustainability practices throughout its operations.",Waste Reduction,"{'answer_start': [249], 'text': ['5,000 tons']}"
129,Scope 1+2 Carbon Emissions,"The Scope 1+2 Carbon Emissions is 1387.2. In addition to reducing carbon emissions, the aviation industry can also explore other sustainability initiatives, such as reducing waste, improving water efficiency, and promoting sustainable tourism practices.",What is the Scope 1+2 Carbon Emissions for SINGAPORE AIRLINES?,"{'answer_start': [34], 'text': ['1387.2']}"
130,giving,"The range of projects supported by the HelpAlliance is broad and is divided in long-term, short-term results-oriented projects as well as activities in the framework of Emergency Aid, such as in the wake of the tsunami in southeast Asia, the earthquake in Haiti and the flooding in Paki- stan. The number of projects that the cooperative initiative has launched, coordinated and supported since its foundation reached 70 at the end of 2010, with a total budget volume of almost 5.5 million euros.",how much is (was) global giving?,"{'answer_start': [478], 'text': ['5.5 million euros']}"
131,Aviation Safety Action Program,"In November 2021, we held our annual safety conference aimed at bringing together our people, partners and peers to share knowledge and experience in the pursuit of a safer industry for all. Presenters included leaders and industry experts who shared their insights on topics such as risk, personal resilience and global aviation in a COVID-19 setting. We also held ‘virtual expos’ to showcase and recognise the outstanding work our people do every day to keep our workplaces, customers and operations safe. One of the most popular sessions of the day was Personal Resilience by Ben Crowe, Founder of Mojo Crowe. Photo: Ben Crowe presenting at the conference.",how much is (was) aviation safety action?,"{'answer_start': [0], 'text': ['In November 2021, we held our annual safety conference aimed at bringing together our people, partners and peers to share knowledge and experience in the pursuit of a safer industry for all.']}"
132,aviation accidents,"The Material is from table. Thus, the context is same from answer. In 2021, there are 6 mainline accidents and 2 regional accidents over 1.5 million filights. In 2020, there are 2 mainline accidents and 3 regional accidents over 1.1 million filights. In 2019, there are  4 mainline accidents and 3 regional accidents over 1.9 million filights. ",how much is (was) aviation accidents?,"{'answer_start': [67], 'text': ['In 2021, there are 6 mainline accidents and 2 regional accidents over 1.5 million filights. In 2020, there are 2 mainline accidents and 3 regional accidents over 1.1 million filights. In 2019, there are  4 mainline accidents and 3 regional accidents over 1.9 million filights. ']}"
133,"Diversity and inclusion, Southwest Airlines","Southwest Airlines is committed to promoting diversity and inclusion among its employees. As of 2021, nearly half (48.7%) of the company's employees are people of color, and more than one-third (34.4%) are women. Southwest has also implemented a number of programs to promote diversity and inclusion, including employee resource groups, mentorship programs, and training on unconscious bias. The company has received recognition for its efforts in this area, including being named one of the ""Best Companies for Diversity"" by Forbes magazine.",How does Southwest Airlines address employee diversity and inclusion?,"{'answer_start': [-1], 'text': ['0.487']}"
134,Spills,"The aviation industry is no stranger to spills, and unfortunately, there were 2 spills recorded recently. These incidents serve as a reminder of the ongoing safety risks faced by airlines and the importance of implementing effective spill prevention measures. As a result, airlines continue to invest in new technologies and training programs to ensure the safety of their passengers and crew members.",how much is (was) Spills recorded in 2017?,"{'answer_start': [78], 'text': ['2']}"
135,aviation accidents,"Camden is a special example of how impactful this program can be. After a terrible car accident took the lives of his parents and left him with substantial injuries, Camden required specialized care and medical attention. St. Louis’ Ranken Jordan Pediatric Bridge Hospital, an MTGP partner since 2017, provided a perfect place for Camden to recover.",how much is (was) aviation accidents?,"{'answer_start': [-1], 'text': ['No answer exists']}"
136,aircraft certified / Chapter 5 noise limits,"In a Notice of Proposed Rulemaking (NPRM) titled Stage 5 Airplane Noise Standards, the FAA proposed a new noise standard for certain aircraft to (81 FR 1923, January 14, 2016). A brief history of the FAA's regulation of aircraft noise since 1969 was presented in the preamble to that NPRM.",how much is (was) Percent of chapter 5 noise limits?,"{'answer_start': [-1], 'text': ['No answer exists']}"
137,aircraft certified / Chapter 5 noise limits,"This change would reduce the noise produced by new airplanes and harmonize the noise certification standards for those airplanes certificated in the United States with the new International Civil Aviation Organization noise standard in Annex 16, Chapter 14, effective July 14, 2014.",how much is (was) Percent of chapter 5 noise limits?,"{'answer_start': [-1], 'text': ['No answer exists']}"
138,male/female employees,"In 2021, the employees at Cathay Pacific are 50% female and 50% male.",What is the percentage of male employees and female employees?,"{'answer_start': [45], 'text': ['50%']}"
139,biofuels,The aviation industry has been exploring biofuels as a potential solution to reduce carbon emissions and mitigate the impact of air travel on the environment. The airline invested 3.4 billion,how much has the airline invested in biofuels?,"{'answer_start': [180], 'text': ['3.4 billion']}"
140,Fines Amount,This fine represents the highest amount assessed against an airline for violating the tarmac delay rule. The fines amount was 0.005053209. ,what is the fines amount for American Airline?,"{'answer_start': [126], 'text': ['0.005053209']}"
141,"Alaska Airlines, fuel efficiency","Alaska Airlines has made a commitment to reduce its carbon emissions by 30% by 2025 and has implemented a number of initiatives to achieve this goal, including investing in more fuel-efficient aircraft and equipping its existing fleet with Split Scimitar winglets, which improve fuel efficiency by up to 2%. As of 2021, 90% of Alaska Airlines' fleet has been equipped with Split Scimitar winglets.",What percentage of Alaska Airlines' fleet is equipped with fuel-efficient Split Scimitar winglets?,"{'answer_start': [-1], 'text': ['0.9']}"
142,Fines Amount,"The Department also found that while heavy snow and rain contributed to the long tarmac delays in Dallas/Fort Worth,southwest did not adequately prepare for the weather and failed to take appropriate measures to prevent multiple extended tarmac delays at this airport. The fines amount was 0.003081856. ",what is the fines amount for SOUTHWEST AIRLINES CO? ,"{'answer_start': [290], 'text': ['0.003081856']}"
143,How does the airline ensure sustainability in its supply chain?,"JetBlue Airways has implemented sustainable procurement policies and engages with its suppliers to ensure sustainability throughout its supply chain. The airline evaluates potential suppliers based on their environmental and social performance and works with existing suppliers to improve sustainability practices. JetBlue Airways also collaborates with industry partners and stakeholders to address sustainability challenges in the aviation sector. The airline has been recognized for its sustainable supply chain practices by various organizations, including the Carbon Disclosure Project and the Sustainable Purchasing Leadership Council.",Supply Chain Sustainability,"{'answer_start': [-1], 'text': ['Sustainable procurement policies and supplier engagement']}"
144,giving,"For one airline, corporate social responsibility is a core part of their business model, and their in-kind giving amounted to 1.90% of their total revenue. This percentage may seem small, but it represents a significant commitment to supporting communities and causes around the world. By prioritizing in-kind giving and other corporate social responsibility initiatives, the airline demonstrates a commitment to creating positive social and environmental outcomes beyond their core business operations.",how much is (was) global giving percent of net income in 2019 ?,"{'answer_start': [126], 'text': ['1.90%']}"
145,Carbon Intensity,"In 2019, Frontier Airlines reported a carbon intensity of 0.246 kg CO2e per passenger mile, which is a measure of carbon emissions per unit of output. The airline has set a goal of reducing its carbon intensity by 20% by 2025. Frontier has implemented several measures to reduce its carbon footprint, such as using more fuel-efficient planes and optimizing flight paths for fuel efficiency. The airline has also invested in sustainable aviation fuel and has partnered with a waste-to-energy company to convert its waste into energy. Frontier has set a goal of becoming carbon neutral for its global operations by 2050.",What is an airline's carbon intensity per passenger mile?,"{'answer_start': [58], 'text': ['0.246 kg CO2e']}"
146,Spills,"The Material is from table. Thus, the context is same from answer. In 2021, there was 1 record. In 2020, there was 0 record. In 2019, there were 2 records. In 2018,  there were 2 records. In 2017, there were 3 records. ",how much is (was) Spills recorded?,"{'answer_start': [67], 'text': ['In 2021, there was 1 record. In 2020, there was 0 record. In 2019, there were 2 records. In 2018,  there were 2 records. In 2017, there were 3 records. ']}"
147,aviation accidents,Number of aviation accidents: 0,how much is (was) aviation accidents in 2021?,"{'answer_start': [30], 'text': ['0']}"
148,giving,Delta Air Lines and The Delta Air Lines Foundation contributed $59 million to supporting global communities in 2019.,how much is (was) global giving?,"{'answer_start': [63], 'text': ['$59 million']}"
149,REV PASS MILES,"The REV PASS MILES is 0.Airlines can also benefit from Rev Pass miles by using them as a marketing tool. By offering loyalty programs with attractive rewards, airlines can attract new customers and retain existing ones, helping to build their brand and grow their business.",What is the rev pass miles for CATHAY PACIFIC AIRWAYS?,"{'answer_start': [22], 'text': ['0']}"
150,employee count,"105,290 employees. The airline industry is a major employer, with millions of people working in various roles around the world. According to the International Air Transport Association (IATA), the global airline industry directly employs over 2.7 million people.",How many employees were there in 2021?,"{'answer_start': [0], 'text': ['105,290']}"
151,renewable,"United Airlines has committed to sourcing 100% of its electricity from renewable sources by 2025. The airline is currently sourcing 50% of its electricity from renewable sources, such as wind and solar power. United Airlines is also investing in sustainable aviation fuel and alternative technologies to reduce its reliance on fossil fuels.",What is United Airlines' renewable energy usage?,"{'answer_start': [42], 'text': ['1']}"
152,Scope 3Carbon Emissions,"The Scope 3Carbon Emissions is 174.1343856. In addition to addressing scope 3 emissions, airlines can also explore other sustainability initiatives, such as reducing waste, improving water efficiency, and promoting sustainable tourism practices.",What is the Scope 3Carbon Emissions for HAWAIIAN AIRLINES?,"{'answer_start': [31], 'text': ['174.1343856']}"
153,What sustainability measures has the airline implemented in its infrastructure?,"JetBlue Airways has implemented various sustainability measures in its infrastructure. The airline has built several green buildings at its airports that incorporate energy-efficient features, such as solar panels, green roofs, and rainwater harvesting systems. JetBlue Airways has also achieved Leadership in Energy and Environmental Design (LEED) certification for several of its facilities, which recognizes environmentally-friendly building practices. The airline has a goal to reduce its greenhouse gas emissions by 20% by 2025 and has been recognized for its sustainability efforts by various organizations, including the Carbon Disclosure Project.",Sustainable Infrastructure,"{'answer_start': [-1], 'text': ['Use of green buildings and LEED certification']}"
154,controversy total count,"Airlines can also take proactive steps to avoid controversy by anticipating potential risks and addressing them before they become major issues. This may involve conducting risk assessments, engaging with stakeholders, and adopting best practices in safety, customer service, and environmental responsibility.The controversy total count was 0.014976552.",what was the controversy total count for BRITISH AIRWAYS? ,"{'answer_start': [341], 'text': ['0.014976552']}"
155,Scope 3Carbon Emissions,"Overall, addressing scope 3 emissions is critical for airlines that are committed to reducing their carbon footprint. By working with their suppliers, partners, and customers, and exploring new technologies and innovations, the industry can work towards creating a more sustainable future for air travel.The Scope 3Carbon Emissions is 344.8771351.",What is the Scope 3Carbon Emissions for BRITISH AIRWAYS?,"{'answer_start': [335], 'text': ['344.8771351']}"
156,Water conservation,"American Airlines, a major US airline, has implemented a number of measures to reduce its water usage. These include installing low-flow faucets and toilets in its facilities, and using recycled water for aircraft washing and other purposes. In 2019, the airline saved more than 54 million gallons of water through these measures. American Airlines has also set a goal of reducing its water usage by 10% per passenger by 2025. The airline plans to achieve this goal through further conservation measures and the use of more efficient equipment.",How much water does the airline save annually?,"{'answer_start': [279], 'text': ['54 million gallons']}"
157,emmisions,"As the aviation industry continues to evolve, some airlines are exploring the use of unmanned aerial vehicles (UAVs) for various purposes. However, it is important to consider the environmental impact of such investments. In 2021, one airline reported that the UAV investments emission amounted to 162, which is relatively low. Nevertheless, the airline remains committed to minimizing its environmental impact and continues to explore innovative solutions to reduce its carbon footprint.",What is the UAV investments emmision in 2021?,"{'answer_start': [298], 'text': ['162']}"
158,"Carbon emissions, RPM","Delta Airlines has set a goal to achieve carbon neutrality by 2030 and has implemented a number of initiatives to reduce its carbon footprint, including investing in more fuel-efficient aircraft, using sustainable aviation fuel, and implementing a carbon offset program for its customers. As of 2019, the company's carbon emissions per RPM was 0.20 lbs CO2e, a decrease of 11.5% from its 2005 baseline.",What is the carbon emissions per revenue passenger mile (RPM) for Delta Airlines?,"{'answer_start': [-1], 'text': ['0.20 lbs CO2e/RPM']}"
159,emmisions,"Environmental sustainability is an important consideration for airlines, and one airline has taken steps to reduce its carbon footprint. In 2021, the airline reported CO emissions of 5503, which it considers a significant figure. To minimize these emissions, the airline has invested in more fuel-efficient aircraft and implemented measures to reduce fuel consumption during flights. By prioritizing sustainability, the airline demonstrates a commitment to creating a more sustainable future for the aviation industry and reducing its environmental impact.",What is the CO emissions in 2021?,"{'answer_start': [-1], 'text': ['5,503']}"
160,How does the airline conserve water in its operations?,"Alaska Airlines has implemented various measures to conserve water in its operations, including the use of low-flow faucets and toilets in aircraft and facilities. The airline also recycles and reuses water where possible and has implemented water-efficient landscaping at its facilities. In 2020, Alaska Airlines saved over 4 million gallons of water through its water conservation measures. The airline also works with its suppliers to reduce water use throughout its supply chain.",Water Conservation,"{'answer_start': [-1], 'text': ['Use of low-flow faucets and toilets in aircraft and facilities']}"
161,Scope 1+2 Carbon Emissions,"Overall, reducing carbon emissions from airlines is a complex issue that will require a multifaceted approach. However, with a commitment to innovation, sustainability, and collaboration, the industry can work towards creating a more sustainable future for air travel.The Scope 1+2 Carbon Emissions is 800.",What is the Scope 1+2 Carbon Emissions for UNITED AIRLINES?,"{'answer_start': [302], 'text': ['800']}"
162,training,"Operating airlines also train staff to recognise and respond to the signs of potential human trafficking situations and provide procedures for reporting where any cases are suspected. This training is managed at airline level. In 2021, over 27,000 employees have completed over 38,000 hours of training covering Human Rights topics.",How many employees have completed training covering Human Rights topics in 2021?,"{'answer_start': [227], 'text': ['In 2021, over 27,000 employees have completed over 38,000 hours of training covering Human Rights topics.']}"
163,,"These are risks projected further off in the future that do not pose an immediate risk to JetBlue, however, should be monitored for materiality. As mitigating long-term risks often requires early preparation (such as securing long-term contracts with favorable terms), we continue to roadmap and plan for mitigation of these risks. One of our biggest long-term risks to the company is a failure to respond and adapt to climate change. To ensure we are prepared for future emissions requirements and improve our resiliency, we have aligned our net zero goal with our long-term planning horizon of 2040.",what is the long term risk management strategy?,"{'answer_start': [-1], 'text': ['No answer exists']}"
164,mishandled baggage rate,"Our mishandled baggage rate (MBR) rose to 7.63 in 2021, due largely to the significant increase in flights and travelers as we ramped back up operations. Our higher MBR rate of 8.48 in 2019 provides a somewhat better point of comparison, although our flight volumes for that year were greater than in 2021.",What is  the mishandled baggage rate in 2021 ?,"{'answer_start': [42], 'text': ['7.63']}"
165,giving,"Our colleagues are critical stewards of our commitment to our communities and invest their time, talent, and resources to charitable causes that are meaningful to them. Our colleagues provided over 154,000 hours of virtual and in-person volunteer service throughout the year, which supported more than 2,000 organizations.
Our colleagues serve on approximately 1,000 nonprofit boards and/or committees, lending their expertise to organizations that provide vital services across our footprint. The Citizens Charitable Foundation provided nearly
$1 million in matching gifts, amplifying our colleagues’ charitable giving.
In support of our commitment to fight hunger, our colleagues’ actions during September’s Hunger Action Month generated a donation equivalent to more than 541,000 meals for those in need. A key colleague engagement initiative is our signature Step Up to Fight Hunger Wellness Challenge through which colleagues can translate healthy activities to a donation that provides meals for their communities. Over 3,500 colleagues logged 648 million steps during the annual challenge.",how much is (was) global giving?,"{'answer_start': [-1], 'text': ['The Citizens Charitable Foundation provided nearly $1 million in matching gifts, amplifying our colleagues’ charitable giving.']}"
166,modern slavery score,"The modern slavery score measures the extent to which airlines have implemented policies and procedures to identify and address modern slavery in their supply chains. This includes measures such as conducting risk assessments, providing training to employees and suppliers, and monitoring supplier compliance with ethical standards.The modern slavery score is 8. ",what is the modern slavery score for AADVANTAGE LOYALITY IP LTD. (AMERICAN AI)?,"{'answer_start': [360], 'text': ['8']}"
167,carbon emissions,"Our airline has set a goal to reduce our carbon emissions by 25% by 2035, compared to a 2019 baseline. We are pursuing a variety of strategies to achieve this goal, including investing in more fuel-efficient aircraft, optimizing our flight paths and ground operations, and exploring the use of sustainable aviation fuels. We are also actively participating in industry-wide initiatives to reduce aviation's overall carbon footprint, such as the CORSIA program.",How does your airline reduce its carbon emissions?,"{'answer_start': [-1], 'text': ['0.25']}"
